review,label
"""I started taking Effexor XR 37.5mg capsules 2 months ago.  I had a hard time for the first couple of days.  I would wake up in the mornings feeling afraid and hot.  But my loved ones convinced me to stick it out.  I continued taking my medicine each day...at the same time each morning.  And I wish I would have started taking it a long time ago!  I can concentrate.  I can focus on what my children are saying to me.  Things that used to be overwhelming are no longer.  I can go out in public and feel confident...not feel like the walls are closing in on me.  Effexor XR changed my life for the better.""",0
"""I take Mentanx for diabetic neuropathy and it has been wonderful for the pain and the feeling like my feet are in fire. It didn't help with the deep itching in my foot. My Doctor ended up giving me Lyrica for that.""",0
"""I'm 49 years old and I started having panic attacks and anxiety again. It first started when I had a surgery to extract my thyroid many years ago. I tried other medications but Citalopram was the only one that made me feel good again. I have been taking 20 mg for  more than 2 years and the only side effect I have is dry mouth. Actually I do not even realize it. I can't imagine flying or staying in closed places without taking it.""",0
"""I have been on this since the beginning of October 2015..
I never really write any reviews.. but I swear this drug saved my life. . I am a pro athlete and my migraines had got so bad I couldn't train any more.  Almost a year went by with no training. . It got to the point that I was going into the hospital at least once a week. . CT scans and Mri. . The whole 9 yards.  Finally the ER Dr told me I should really consider taking this so I did.  Within 2 weeks I was migraine free. . And haven't had one since. It is truly a life saver. I am also finding that I am in a better place mentally as well.""",0
"""Had unprotected sex, 18 yrs old, took the pill the third day, little nauseous- waiting for my period, but this pill works wonders :)""",0
"""After 16 years of opioid and heroin addiction I had tried everything. Methadone for 3years and off and on suboxone for 8 or more years, i tried hard to get off suboxone and it was horrid withdrawal so I relapsed on heroin.  When I knew I might die if I kept it up, I put myself into a detox and planed to leave after. Stayed for rehab and the vivitrol was suggested I went back and fourth with my decision because I still wanted to drink. Finally I decided to get the shot. Side Effects: muscle spasms, constant stretching that felt great,  decreased appetite, weight loss. The interactions with my 3mgs of clozepam are hard to explain. It's a high definitely but not one I like to much. If I take Bental for the stomac cramps I get really dipped out""",0
"""I'm married, 34 years old and I have no kids. Taking the pill was such a hassle so I decided to get the Mirena. It was very painful when it was inserted,then had cramping for the rest of that day! For the first 6 weeks I spotted off and on and then my periods just stopped. I still got cramps every few months, but never needed to take anything. The 5th and final year of me having Mirena, I started to spot monthly. I called my OB, they just said that the levonorgestrel wears off over time. I made the decision that I was going to have another one put in. Taking the old one out didn't hurt at all, you feel a little pressure. Inserting the new one was less painful but still uncomfortable. It's been 4 days and I still have a little cramping but overall HAPPY.""",0
"""I have had constant nausea for SEVEN years related to gastroparesis and Meniere's disease (an inner ear disorder causing severe vertigo and nausea). I was finally offered Zofran on my last emergency room trip (I told the doctor if they didn't do something I was going to go insane)... Zofran has been a lifesaver and I never go anywhere without it. And I mean that. It works like magic every time I need it. The longest it has ever taken to kick in is 45 minutes. I can't say enough good things about it. 100% thumbs up.""",0
"""Because I have kidney problems and reoccurring kidney Infections I'm often prescribed antibiotics causing frequent yeast infections. ..I use monistat EVERY time I've gotten a YI. Yes the burning and itching is intense but is much rather have extreme symptoms for 1 day than itching and uncomfort for a week from an untreated YI..     I even go to work With the ovule in ...its not that much more intense than the YI symptoms alone..and no I do not have a sitting down job,""",0
"""Treatment for ADHD save my life. Don't believe all the hype and the stigma around this diagnosis and treatment. It is a real condition there is real treatment and it makes a real and profound difference to the lives of people with this debilitating condition. So don't be afraid to seek help if you think you might have ADHD it is not just childhood illness in in my opinion it generally consists persists in some form for the duration of your life just like any other disease""",0
"""This is my 3rd time taking this medicine. First 2 times my shin bones hurt bad for 2 weeks this time my left thumb and palm so far hurts badly but this medicine does work for what ailes me. I just hope my shin bones don't hurt so bad this time. By the way my prescription is 5 pills of 750mg daily for 5 days.""",0
"""I started taking Apri about 7 months ago. My breats got noticeably larger within the first few weeks and I gained about 10 pounds, but I'm a thin girl anyway so I gladly take on the extra few pounds and curves. I got prescribed this birth control because of my ovarian cysts and since I have not had any problems with them. They've been unnoticeable and my cramps don't even exist anymore. I love Apri and it's affordable. Just what I need in this economic clash.""",0
